site,mgmt_ip,wg_ip,router_public_key,ok,error
27 Atlantic,10.201.17.1,10.255.255.10/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
525,10.200.33.1,10.255.255.11/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Arbour Reach,10.200.17.1,10.255.255.12/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Aviva,10.30.35.1,10.255.255.13/32,,FALSE,Unhandled error: timed out
Avondale 1,10.200.128.1,10.255.255.14/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Avondale 2,10.200.145.1,10.255.255.15/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Belmont Bay,10.100.105.1,10.255.255.16/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Branchester Lakes,10.101.16.1,10.255.255.17/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Brookhaven,10.40.48.1,10.255.255.18/32,,FALSE,WireGuard key generate returned unexpected output: 'bad command name key (line 1 column 22)'
Brookridge,10.150.17.1,10.255.255.19/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Cedars,10.200.64.1,10.255.255.20/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
CFG,10.101.9.1,10.255.255.21/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Clairmont,10.200.193.1,10.255.255.22/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Colony Village,10.100.16.1,10.255.255.23/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Constitution,10.201.33.1,10.255.255.24/32,,FALSE,WireGuard key generate returned unexpected output: 'bad command name key (line 1 column 22)'
Cottages,10.200.97.1,10.255.255.25/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Cromwell House,10.200.105.1,10.255.255.26/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
CVG,10.100.128.1,10.255.255.27/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Daleville,10.100.32.1,10.255.255.28/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Engineering,10.203.2.1,10.255.255.29/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Era,10.201.9.1,10.255.255.30/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
Festival Park,10.100.8.1,10.255.255.31/32,,FALSE,WireGuard key generate returned unexpected output: 'expected command name (line 1 column 11)'
