identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_141,1001,192.168.100.0/27,192.168.100.0,27,192.168.100.1,192.168.100.2-192.168.100.30,192.168.100.2,192.168.100.30,192.168.100.1,192.168.100.30,192.168.100.31
EWT_142,1002,192.168.100.32/27,192.168.100.32,27,192.168.100.33,192.168.100.34-192.168.100.62,192.168.100.34,192.168.100.62,192.168.100.33,192.168.100.62,192.168.100.63
EWT_144,1003,192.168.100.64/27,192.168.100.64,27,192.168.100.65,192.168.100.66-192.168.100.94,192.168.100.66,192.168.100.94,192.168.100.65,192.168.100.94,192.168.100.95
EWT_150,1004,192.168.100.96/27,192.168.100.96,27,192.168.100.97,192.168.100.98-192.168.100.126,192.168.100.98,192.168.100.126,192.168.100.97,192.168.100.126,192.168.100.127
EWT_152,1005,192.168.100.128/27,192.168.100.128,27,192.168.100.129,192.168.100.130-192.168.100.158,192.168.100.130,192.168.100.158,192.168.100.129,192.168.100.158,192.168.100.159
EWT_209,1006,192.168.100.160/27,192.168.100.160,27,192.168.100.161,192.168.100.162-192.168.100.190,192.168.100.162,192.168.100.190,192.168.100.161,192.168.100.190,192.168.100.191
EWT_210,1007,192.168.100.192/27,192.168.100.192,27,192.168.100.193,192.168.100.194-192.168.100.222,192.168.100.194,192.168.100.222,192.168.100.193,192.168.100.222,192.168.100.223
EWT_211,1008,192.168.100.224/27,192.168.100.224,27,192.168.100.225,192.168.100.226-192.168.100.254,192.168.100.226,192.168.100.254,192.168.100.225,192.168.100.254,192.168.100.255
EWT_212,1009,192.168.101.0/27,192.168.101.0,27,192.168.101.1,192.168.101.2-192.168.101.30,192.168.101.2,192.168.101.30,192.168.101.1,192.168.101.30,192.168.101.31
EWT_213,1010,192.168.101.32/27,192.168.101.32,27,192.168.101.33,192.168.101.34-192.168.101.62,192.168.101.34,192.168.101.62,192.168.101.33,192.168.101.62,192.168.101.63
EWT_215,1011,192.168.101.64/27,192.168.101.64,27,192.168.101.65,192.168.101.66-192.168.101.94,192.168.101.66,192.168.101.94,192.168.101.65,192.168.101.94,192.168.101.95
EWT_216,1012,192.168.101.96/27,192.168.101.96,27,192.168.101.97,192.168.101.98-192.168.101.126,192.168.101.98,192.168.101.126,192.168.101.97,192.168.101.126,192.168.101.127
EWT_218,1013,192.168.101.128/27,192.168.101.128,27,192.168.101.129,192.168.101.130-192.168.101.158,192.168.101.130,192.168.101.158,192.168.101.129,192.168.101.158,192.168.101.159
EWT_219,1014,192.168.101.160/27,192.168.101.160,27,192.168.101.161,192.168.101.162-192.168.101.190,192.168.101.162,192.168.101.190,192.168.101.161,192.168.101.190,192.168.101.191
EWT_220,1015,192.168.101.192/27,192.168.101.192,27,192.168.101.193,192.168.101.194-192.168.101.222,192.168.101.194,192.168.101.222,192.168.101.193,192.168.101.222,192.168.101.223
EWT_230,1016,192.168.101.224/27,192.168.101.224,27,192.168.101.225,192.168.101.226-192.168.101.254,192.168.101.226,192.168.101.254,192.168.101.225,192.168.101.254,192.168.101.255
EWT_241,1017,192.168.102.0/27,192.168.102.0,27,192.168.102.1,192.168.102.2-192.168.102.30,192.168.102.2,192.168.102.30,192.168.102.1,192.168.102.30,192.168.102.31
EWT_242,1018,192.168.102.32/27,192.168.102.32,27,192.168.102.33,192.168.102.34-192.168.102.62,192.168.102.34,192.168.102.62,192.168.102.33,192.168.102.62,192.168.102.63
EWT_244,1019,192.168.102.64/27,192.168.102.64,27,192.168.102.65,192.168.102.66-192.168.102.94,192.168.102.66,192.168.102.94,192.168.102.65,192.168.102.94,192.168.102.95
EWT_249,1020,192.168.102.96/27,192.168.102.96,27,192.168.102.97,192.168.102.98-192.168.102.126,192.168.102.98,192.168.102.126,192.168.102.97,192.168.102.126,192.168.102.127
EWT_251,1021,192.168.102.128/27,192.168.102.128,27,192.168.102.129,192.168.102.130-192.168.102.158,192.168.102.130,192.168.102.158,192.168.102.129,192.168.102.158,192.168.102.159
EWT_301,1022,192.168.102.160/27,192.168.102.160,27,192.168.102.161,192.168.102.162-192.168.102.190,192.168.102.162,192.168.102.190,192.168.102.161,192.168.102.190,192.168.102.191
EWT_302,1023,192.168.102.192/27,192.168.102.192,27,192.168.102.193,192.168.102.194-192.168.102.222,192.168.102.194,192.168.102.222,192.168.102.193,192.168.102.222,192.168.102.223
EWT_303,1024,192.168.102.224/27,192.168.102.224,27,192.168.102.225,192.168.102.226-192.168.102.254,192.168.102.226,192.168.102.254,192.168.102.225,192.168.102.254,192.168.102.255
EWT_304,1025,192.168.103.0/27,192.168.103.0,27,192.168.103.1,192.168.103.2-192.168.103.30,192.168.103.2,192.168.103.30,192.168.103.1,192.168.103.30,192.168.103.31
EWT_305,1026,192.168.103.32/27,192.168.103.32,27,192.168.103.33,192.168.103.34-192.168.103.62,192.168.103.34,192.168.103.62,192.168.103.33,192.168.103.62,192.168.103.63
EWT_306,1027,192.168.103.64/27,192.168.103.64,27,192.168.103.65,192.168.103.66-192.168.103.94,192.168.103.66,192.168.103.94,192.168.103.65,192.168.103.94,192.168.103.95
EWT_307,1028,192.168.103.96/27,192.168.103.96,27,192.168.103.97,192.168.103.98-192.168.103.126,192.168.103.98,192.168.103.126,192.168.103.97,192.168.103.126,192.168.103.127
EWT_308,1029,192.168.103.128/27,192.168.103.128,27,192.168.103.129,192.168.103.130-192.168.103.158,192.168.103.130,192.168.103.158,192.168.103.129,192.168.103.158,192.168.103.159
EWT_310,1030,192.168.103.160/27,192.168.103.160,27,192.168.103.161,192.168.103.162-192.168.103.190,192.168.103.162,192.168.103.190,192.168.103.161,192.168.103.190,192.168.103.191
EWT_311,1031,192.168.103.192/27,192.168.103.192,27,192.168.103.193,192.168.103.194-192.168.103.222,192.168.103.194,192.168.103.222,192.168.103.193,192.168.103.222,192.168.103.223
EWT_312,1032,192.168.103.224/27,192.168.103.224,27,192.168.103.225,192.168.103.226-192.168.103.254,192.168.103.226,192.168.103.254,192.168.103.225,192.168.103.254,192.168.103.255
EWT_313,1033,192.168.104.0/27,192.168.104.0,27,192.168.104.1,192.168.104.2-192.168.104.30,192.168.104.2,192.168.104.30,192.168.104.1,192.168.104.30,192.168.104.31
EWT_314,1034,192.168.104.32/27,192.168.104.32,27,192.168.104.33,192.168.104.34-192.168.104.62,192.168.104.34,192.168.104.62,192.168.104.33,192.168.104.62,192.168.104.63
EWT_316,1035,192.168.104.64/27,192.168.104.64,27,192.168.104.65,192.168.104.66-192.168.104.94,192.168.104.66,192.168.104.94,192.168.104.65,192.168.104.94,192.168.104.95
EWT_317,1036,192.168.104.96/27,192.168.104.96,27,192.168.104.97,192.168.104.98-192.168.104.126,192.168.104.98,192.168.104.126,192.168.104.97,192.168.104.126,192.168.104.127
EWT_319,1037,192.168.104.128/27,192.168.104.128,27,192.168.104.129,192.168.104.130-192.168.104.158,192.168.104.130,192.168.104.158,192.168.104.129,192.168.104.158,192.168.104.159
EWT_320,1038,192.168.104.160/27,192.168.104.160,27,192.168.104.161,192.168.104.162-192.168.104.190,192.168.104.162,192.168.104.190,192.168.104.161,192.168.104.190,192.168.104.191
EWT_321,1039,192.168.104.192/27,192.168.104.192,27,192.168.104.193,192.168.104.194-192.168.104.222,192.168.104.194,192.168.104.222,192.168.104.193,192.168.104.222,192.168.104.223
EWT_323,1040,192.168.104.224/27,192.168.104.224,27,192.168.104.225,192.168.104.226-192.168.104.254,192.168.104.226,192.168.104.254,192.168.104.225,192.168.104.254,192.168.104.255
EWT_324,1041,192.168.105.0/27,192.168.105.0,27,192.168.105.1,192.168.105.2-192.168.105.30,192.168.105.2,192.168.105.30,192.168.105.1,192.168.105.30,192.168.105.31
EWT_325,1042,192.168.105.32/27,192.168.105.32,27,192.168.105.33,192.168.105.34-192.168.105.62,192.168.105.34,192.168.105.62,192.168.105.33,192.168.105.62,192.168.105.63
EWT_326,1043,192.168.105.64/27,192.168.105.64,27,192.168.105.65,192.168.105.66-192.168.105.94,192.168.105.66,192.168.105.94,192.168.105.65,192.168.105.94,192.168.105.95
EWT_327,1044,192.168.105.96/27,192.168.105.96,27,192.168.105.97,192.168.105.98-192.168.105.126,192.168.105.98,192.168.105.126,192.168.105.97,192.168.105.126,192.168.105.127
EWT_328,1045,192.168.105.128/27,192.168.105.128,27,192.168.105.129,192.168.105.130-192.168.105.158,192.168.105.130,192.168.105.158,192.168.105.129,192.168.105.158,192.168.105.159
EWT_329,1046,192.168.105.160/27,192.168.105.160,27,192.168.105.161,192.168.105.162-192.168.105.190,192.168.105.162,192.168.105.190,192.168.105.161,192.168.105.190,192.168.105.191
EWT_330,1047,192.168.105.192/27,192.168.105.192,27,192.168.105.193,192.168.105.194-192.168.105.222,192.168.105.194,192.168.105.222,192.168.105.193,192.168.105.222,192.168.105.223
EWT_341,1048,192.168.105.224/27,192.168.105.224,27,192.168.105.225,192.168.105.226-192.168.105.254,192.168.105.226,192.168.105.254,192.168.105.225,192.168.105.254,192.168.105.255
EWT_342,1049,192.168.106.0/27,192.168.106.0,27,192.168.106.1,192.168.106.2-192.168.106.30,192.168.106.2,192.168.106.30,192.168.106.1,192.168.106.30,192.168.106.31
EWT_344,1050,192.168.106.32/27,192.168.106.32,27,192.168.106.33,192.168.106.34-192.168.106.62,192.168.106.34,192.168.106.62,192.168.106.33,192.168.106.62,192.168.106.63
EWT_348,1051,192.168.106.64/27,192.168.106.64,27,192.168.106.65,192.168.106.66-192.168.106.94,192.168.106.66,192.168.106.94,192.168.106.65,192.168.106.94,192.168.106.95
EWT_349,1052,192.168.106.96/27,192.168.106.96,27,192.168.106.97,192.168.106.98-192.168.106.126,192.168.106.98,192.168.106.126,192.168.106.97,192.168.106.126,192.168.106.127
